B1;L11;B2;L12;Vtp
0.804806903;2.35E-05;0.804806903;-1.00E-07;-0.004249547
0.807802401;2.34E-05;0.807802401;-1.09E-07;-0.004675103
0.810797899;2.32E-05;0.810797899;-1.18E-07;-0.005085626
0.813793397;2.30E-05;0.813793397;-1.25E-07;-0.005460547
0.816788894;2.27E-05;0.816788894;-1.31E-07;-0.005779643
0.819784392;2.25E-05;0.819784392;-1.35E-07;-0.006023798
0.82277989;2.22E-05;0.82277989;-1.37E-07;-0.006175841
0.825775388;2.19E-05;0.825775388;-1.36E-07;-0.006221461
0.828770885;2.16E-05;0.828770885;-1.33E-07;-0.006150177
0.831766383;2.13E-05;0.831766383;-1.27E-07;-0.005956308
0.834761881;2.11E-05;0.834761881;-1.19E-07;-0.005639839
0.837757379;2.08E-05;0.837757379;-1.09E-07;-0.005207075
0.840752876;2.06E-05;0.840752876;-9.64E-08;-0.00467094
0.843748374;2.05E-05;0.843748374;-8.30E-08;-0.004050802
0.846743872;2.04E-05;0.846743872;-6.86E-08;-0.003371751
0.84973937;2.03E-05;0.84973937;-5.40E-08;-0.002663311
0.852734867;2.02E-05;0.852734867;-3.96E-08;-0.001957695
0.855730365;2.02E-05;0.855730365;-2.61E-08;-0.001287746
0.858725863;2.03E-05;0.858725863;-1.39E-08;-0.000684827
0.861721361;2.04E-05;0.861721361;-3.60E-09;-0.000176871
0.864716858;2.05E-05;0.864716858;4.37E-09;0.000213167
0.867712356;2.06E-05;0.867712356;9.65E-09;0.000468343
0.870707854;2.08E-05;0.870707854;1.20E-08;0.000578185
0.873703352;2.09E-05;0.873703352;1.13E-08;0.00053863
0.876698849;2.11E-05;0.876698849;7.40E-09;0.000351543
0.879694347;2.12E-05;0.879694347;5.07E-10;2.39E-05
0.882689845;2.13E-05;0.882689845;-9.21E-09;-0.000432855
0.885685343;2.14E-05;0.885685343;-2.15E-08;-0.001004222
0.88868084;2.14E-05;0.88868084;-3.58E-08;-0.001672984
0.891676338;2.14E-05;0.891676338;-5.18E-08;-0.002420154
0.894671836;2.13E-05;0.894671836;-6.89E-08;-0.003225473
0.897667334;2.12E-05;0.897667334;-8.64E-08;-0.004067788
